stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\SAM-Tech\source\repos\Project4 - Copy\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02392] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02400] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02406] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02415] added dtor for sample_instance 009F3D00, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02423] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02428] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02434] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02439] added dtor for sample_instance 009F5F48, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02445] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02455] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02463] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02471] added dtor for sample_instance 009F9D48, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02477] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02482] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02487] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02493] added dtor for sample_instance 009FA3D8, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02498] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02505] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02511] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02517] added dtor for sample_instance 009F9A00, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02525] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02531] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02536] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02542] added dtor for sample_instance 009F97D0, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02550] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02556] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02562] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02567] added dtor for sample_instance 009F9C30, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02573] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02579] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02585] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02592] added dtor for sample_instance 009F96B8, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02598] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02605] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02610] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02616] added dtor for sample_instance 009F98E8, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02623] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02628] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02634] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02641] added dtor for sample_instance 009F9E60, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02648] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02654] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02659] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02664] added dtor for sample_instance 009F9F78, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02670] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02676] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02680] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02686] added dtor for sample_instance 009F9B18, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02691] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02697] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02703] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02708] added dtor for sample_instance 009F95A0, func 77AB1208
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02714] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02719] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02724] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02730] added dtor for timer 009C5F28, func 796B1974
dtor     D               dtor.c:196  _al_register_destructor          [   0.02737] added dtor for queue 009F5DC8, func 796B1712
system   D            wsystem.c:834  maybe_parent_dir                 [   0.02749] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.02765] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.02770] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.03061] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.05522] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.06142] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.06154] al_display=00A4BD60
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.06160] al_display->vt=00A72E90
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06683] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.06694] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06703] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.06710] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06717] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.06722] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06728] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.06734] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06741] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.06747] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06754] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.06760] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06766] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.06772] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06778] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.06783] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06790] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.06795] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06801] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.06808] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06815] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.06820] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06826] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.06831] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06839] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.06845] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06852] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.06859] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06867] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.06873] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06881] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.06887] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06894] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.06902] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06908] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.06913] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06919] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.06925] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06930] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.06935] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06940] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.06945] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06950] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.06955] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06960] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.06966] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06972] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.06978] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06985] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.06992] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.06998] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.07009] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07017] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.07024] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07030] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07035] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07041] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07047] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07053] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07059] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07067] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.07073] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07079] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.07086] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07092] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.07098] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07103] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.07109] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07116] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.07122] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07128] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.07133] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07139] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07144] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07155] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07162] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07170] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07180] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07188] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.07195] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07201] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.07209] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07216] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.07221] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07229] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.07235] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07241] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.07246] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07252] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.07257] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07268] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07273] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07279] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07284] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07289] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07293] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07299] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.07305] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07310] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.07315] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07320] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.07324] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07330] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.07340] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07346] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.07350] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07356] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.07363] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07370] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07375] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07382] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07388] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07394] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07400] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07407] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.07414] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07420] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.07426] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07432] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.07437] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07443] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.07449] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07455] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.07461] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07466] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.07472] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07477] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07482] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07487] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07491] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07498] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.07503] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07509] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.07516] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07522] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.07526] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07532] Score is : 801
display  D   display_settings.c:214  debug_display_settings           [   0.07537] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07543] Score is : 809
display  D   display_settings.c:214  debug_display_settings           [   0.07549] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07554] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.07559] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07565] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.07569] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07575] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07579] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07585] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07592] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07598] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07603] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07609] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07614] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07619] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07624] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07629] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07634] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07641] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07646] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07651] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07656] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07661] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07666] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07672] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07676] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07682] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07686] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07692] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07697] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07702] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07707] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07713] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07718] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07724] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07729] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07734] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07739] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07745] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07750] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07759] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07765] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
